time,temperature_2m
2025-03-21 00:00:00,2.9
2025-03-21 01:00:00,2.4
2025-03-21 02:00:00,2.1
2025-03-21 03:00:00,1.8
2025-03-21 04:00:00,1.6
2025-03-21 05:00:00,1.6
2025-03-21 06:00:00,3.3
2025-03-21 07:00:00,6.5
2025-03-21 08:00:00,9.7
2025-03-21 09:00:00,11.7
2025-03-21 10:00:00,13.2
2025-03-21 11:00:00,14.1
2025-03-21 12:00:00,15.3
2025-03-21 13:00:00,15.5
2025-03-21 14:00:00,15.4
2025-03-21 15:00:00,14.9
2025-03-21 16:00:00,13.8
2025-03-21 17:00:00,11.8
2025-03-21 18:00:00,10.7
2025-03-21 19:00:00,9.9
2025-03-21 20:00:00,8.9
2025-03-21 21:00:00,8.0
2025-03-21 22:00:00,7.1
2025-03-21 23:00:00,6.5
2025-03-22 00:00:00,6.0
2025-03-22 01:00:00,5.5
2025-03-22 02:00:00,4.7
2025-03-22 03:00:00,3.7
2025-03-22 04:00:00,2.8
2025-03-22 05:00:00,2.2
2025-03-22 06:00:00,3.1
2025-03-22 07:00:00,6.6
2025-03-22 08:00:00,9.9
2025-03-22 09:00:00,12.6
2025-03-22 10:00:00,14.7
2025-03-22 11:00:00,16.1
2025-03-22 12:00:00,16.9
2025-03-22 13:00:00,17.2
2025-03-22 14:00:00,17.2
2025-03-22 15:00:00,16.6
2025-03-22 16:00:00,15.7
2025-03-22 17:00:00,14.5
2025-03-22 18:00:00,13.4
2025-03-22 19:00:00,12.6
2025-03-22 20:00:00,10.5
2025-03-22 21:00:00,9.5
2025-03-22 22:00:00,8.8
2025-03-22 23:00:00,8.3
2025-03-23 00:00:00,7.5
2025-03-23 01:00:00,7.0
2025-03-23 02:00:00,6.4
2025-03-23 03:00:00,6.1
2025-03-23 04:00:00,5.9
2025-03-23 05:00:00,5.8
2025-03-23 06:00:00,6.5
2025-03-23 07:00:00,8.1
2025-03-23 08:00:00,10.0
2025-03-23 09:00:00,11.4
2025-03-23 10:00:00,12.9
2025-03-23 11:00:00,14.8
2025-03-23 12:00:00,15.9
2025-03-23 13:00:00,16.6
2025-03-23 14:00:00,16.8
2025-03-23 15:00:00,16.4
2025-03-23 16:00:00,15.4
2025-03-23 17:00:00,14.0
2025-03-23 18:00:00,12.9
2025-03-23 19:00:00,11.8
2025-03-23 20:00:00,10.7
2025-03-23 21:00:00,10.0
2025-03-23 22:00:00,9.5
2025-03-23 23:00:00,9.0
2025-03-24 00:00:00,8.6
2025-03-24 01:00:00,8.3
2025-03-24 02:00:00,8.1
2025-03-24 03:00:00,8.0
2025-03-24 04:00:00,7.9
2025-03-24 05:00:00,7.8
2025-03-24 06:00:00,8.4
2025-03-24 07:00:00,9.9
2025-03-24 08:00:00,11.3
2025-03-24 09:00:00,13.3
2025-03-24 10:00:00,15.8
2025-03-24 11:00:00,17.9
2025-03-24 12:00:00,19.3
2025-03-24 13:00:00,19.6
2025-03-24 14:00:00,19.8
2025-03-24 15:00:00,19.5
2025-03-24 16:00:00,18.6
2025-03-24 17:00:00,17.2
2025-03-24 18:00:00,16.1
2025-03-24 19:00:00,15.2
2025-03-24 20:00:00,14.5
2025-03-24 21:00:00,13.9
2025-03-24 22:00:00,13.6
2025-03-24 23:00:00,13.3
2025-03-25 00:00:00,13.0
2025-03-25 01:00:00,12.4
2025-03-25 02:00:00,11.7
2025-03-25 03:00:00,11.3
2025-03-25 04:00:00,11.5
2025-03-25 05:00:00,12.0
2025-03-25 06:00:00,13.1
2025-03-25 07:00:00,15.2
2025-03-25 08:00:00,17.9
2025-03-25 09:00:00,20.1
2025-03-25 10:00:00,21.5
2025-03-25 11:00:00,22.5
2025-03-25 12:00:00,23.1
2025-03-25 13:00:00,23.3
2025-03-25 14:00:00,23.1
2025-03-25 15:00:00,22.5
2025-03-25 16:00:00,21.3
2025-03-25 17:00:00,19.7
2025-03-25 18:00:00,18.3
2025-03-25 19:00:00,17.4
2025-03-25 20:00:00,16.7
2025-03-25 21:00:00,16.1
2025-03-25 22:00:00,15.5
2025-03-25 23:00:00,14.9
2025-03-26 00:00:00,14.5
2025-03-26 01:00:00,14.3
2025-03-26 02:00:00,14.2
2025-03-26 03:00:00,14.0
2025-03-26 04:00:00,13.4
2025-03-26 05:00:00,12.7
2025-03-26 06:00:00,12.3
2025-03-26 07:00:00,12.6
2025-03-26 08:00:00,13.2
2025-03-26 09:00:00,14.1
2025-03-26 10:00:00,15.4
2025-03-26 11:00:00,17.0
2025-03-26 12:00:00,18.2
2025-03-26 13:00:00,18.5
2025-03-26 14:00:00,18.6
2025-03-26 15:00:00,18.3
2025-03-26 16:00:00,17.3
2025-03-26 17:00:00,15.8
2025-03-26 18:00:00,14.6
2025-03-26 19:00:00,13.9
2025-03-26 20:00:00,13.4
2025-03-26 21:00:00,13.0
2025-03-26 22:00:00,12.8
2025-03-26 23:00:00,12.7
2025-03-27 00:00:00,12.6
2025-03-27 01:00:00,12.1
2025-03-27 02:00:00,11.6
2025-03-27 03:00:00,11.2
2025-03-27 04:00:00,11.0
2025-03-27 05:00:00,11.0
2025-03-27 06:00:00,11.2
2025-03-27 07:00:00,11.9
2025-03-27 08:00:00,13.0
2025-03-27 09:00:00,14.1
2025-03-27 10:00:00,15.4
2025-03-27 11:00:00,16.7
2025-03-27 12:00:00,17.8
2025-03-27 13:00:00,18.5
2025-03-27 14:00:00,18.9
2025-03-27 15:00:00,18.8
2025-03-27 16:00:00,17.9
2025-03-27 17:00:00,16.5
2025-03-27 18:00:00,15.3
2025-03-27 19:00:00,14.6
2025-03-27 20:00:00,14.1
2025-03-27 21:00:00,13.6
2025-03-27 22:00:00,13.0
2025-03-27 23:00:00,12.3
